eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node22;0;96638;25931;0;7700;7457353.362666;86 days 7:30:6
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node23;0;100925;23845;1;5018;7925213.210666;91 days 17:30:39
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node24;0;96036;26090;0;7724;7451763.000666;86 days 5:56:16
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node25;0;97617;25136;0;7662;7471636.45;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node26;0;95571;23150;1;5214;7899496.772;91 days 10:21:15
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node27;0;66634;22920;0;6435;7698297.502;89 days 2:25:29
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node28;0;51002;16336;0;6943;7679470.805333;88 days 21:20:0
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node29;0;75668;19470;1;4896;7989296.71;92 days 11:24:32
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node30;0;70985;18827;0;7672;7533059.609333;87 days 4:31:12
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node31;0;73458;18595;0;7609;7545879.697333;87 days 8:6:40
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node32;0;75168;18510;1;5009;7980063.242666;92 days 8:52:57
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node33;0;68951;17936;0;6303;7770136.556;89 days 22:24:22
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node34;0;50825;16550;0;6581;7737664.260666;89 days 13:26:40
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node35;0;36589;10358;1;4679;8116584.480666;93 days 22:40:37
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node36;0;46037;14574;0;7583;7590423.232666;87 days 20:30:20
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node37;0;48072;11301;1;7682;7606653.134666;88 days 0:59:19
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node38;0;50396;12017;1;5018;8043493.386666;93 days 2:23:32
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node39;0;47527;13501;0;6747;7740486.486;89 days 14:12:42
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node40;0;45381;11633;0;7490;7635333.398666;88 days 9:1:20
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node41;0;33809;10653;1;5027;8055634.508666;93 days 5:42:52
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node42;0;17152;5679;0;5679;7996708.296;92 days 13:20:17
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node43;0;24068;7058;0;7058;7753084.322666;89 days 17:39:25
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node44;0;25358;4721;0;4721;8165954.272666;94 days 12:20:0
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node45;0;21858;6999;1;6999;7763507.384;89 days 20:39:44
