Simulation Total Time;8290024
Total Number of Sensed Events by the WSN: 0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node72;0;0;0;1;5276;8120666.666667;93 days 23:54:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node73;0;0;0;0;5301;8116500;93 days 22:35:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node74;0;0;0;1;5358;8107000;93 days 20:6:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node75;0;0;0;0;5330;8111666.666667;93 days 21:29:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node76;0;0;0;1;5249;8125166.666667;94 days 1:10:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node77;0;0;0;1;5378;8103666.666667;93 days 19:13:7
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node78;0;0;0;0;5358;8107000;93 days 20:6:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node79;0;0;0;1;4877;8187166.666667;94 days 18:37:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node80;0;0;0;0;4805;8199166.666667;94 days 21:53:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node81;0;0;0;1;5271;8121500;93 days 23:59:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node82;0;0;0;0;5408;8098666.666667;93 days 17:39:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node83;0;0;0;0;5297;8117166.666667;93 days 22:53:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node84;0;0;0;1;5254;8124333.333333;94 days 0:48:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node85;0;0;0;0;5205;8132500;94 days 3:1:40
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node86;0;0;0;0;5255;8124166.666667;94 days 0:48:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node87;0;0;0;0;5330;8111666.666667;93 days 21:29:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node88;0;0;0;1;5422;8096333.333333;93 days 17:15:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node89;0;0;0;1;4693;8217833.333333;95 days 3:11:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node90;0;0;0;1;4274;8287666.666667;95 days 22:16:5
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node91;0;0;0;1;4857;8190500;94 days 19:59:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node92;0;0;0;1;4836;8194000;94 days 20:43:1
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node93;0;0;0;1;4734;8211000;95 days 1:7:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node94;0;0;0;0;4785;8202500;94 days 22:28:38
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node95;0;0;0;0;4752;8208000;95 days 0:3:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node96;0;0;0;0;4746;8209000;95 days 0:23:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node97;0;0;0;1;4940;8176666.666667;94 days 16:26:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node98;0;0;0;0;4823;8196166.666667;94 days 20:43:1
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node99;0;0;0;1;4315;8280833.333333;95 days 20:23:0
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;387031;0
Time that first node die: Node28 93 days 17:15:11
Simulation Total Time;8141129
Total Number of Sensed Events by the WSN: 332265
Number of Sensed Events by the WSN per Day
1;4044
2;4024
3;4013
4;4023
5;4054
6;3987
7;4001
8;4005
9;4065
10;4077
11;4046
12;4016
13;4004
14;4057
15;4004
16;4075
17;4026
18;4006
19;4016
20;4054
21;4025
22;4074
23;4028
24;3984
25;4006
26;3965
27;4015
28;4061
29;4028
30;4011
31;4084
32;4032
33;4069
34;3987
35;4035
36;4021
37;3962
38;4068
39;4008
40;4102
41;3989
42;4092
43;4111
44;3979
45;4036
46;3964
47;4136
48;4064
49;4020
50;4032
51;4057
52;4053
53;3993
54;3989
55;4005
56;4044
57;4001
58;4076
59;4004
60;4018
61;4033
62;4060
63;4088
64;4055
65;4010
66;4026
67;3999
68;4039
69;4020
70;4073
71;4090
72;4073
73;4027
74;4057
75;4064
76;4069
77;4088
78;4045
79;4021
80;4010
81;4042
82;3990
83;1461
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;175044;57653;0;5158;7948156.666667;91 days 23:58:28
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;300497;122549;0;5683;7644336.666667;88 days 11:28:57
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;419411;183630;0;5593;7455733.333333;86 days 7:2:16
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;533107;241373;0;5520;7275423.333333;84 days 4:57:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;587163;297253;0;5400;7109156.666666;82 days 6:46:2
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;587795;295886;0;5346;7122713.333333;82 days 10:32:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;531497;241002;0;5392;7297993.333333;84 days 11:13:46
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;418178;182760;0;5585;7459966.666667;86 days 8:13:41
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;298662;121604;0;5702;7644320;88 days 11:28:57
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;173467;57000;1;5137;7953833.333333;92 days 1:30:54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;164624;52495;0;6061;7814850;90 days 10:48:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;287888;60619;1;6831;7659436.666667;88 days 15:37:29
